complaint_type,descriptor,category,urgency_label
"Street Condition","Large pothole on Main St causing cars to swerve.","Road & Infrastructure","Medium"
"Street Condition","Manhole cover missing; risk of accident near school.","Road & Infrastructure","High"
"Street Light Condition","Streetlight out on 5th Ave; area is dark and feels unsafe.","Public Safety","Medium"
"Traffic Signal Condition","Traffic light not working at junction; accidents may happen.","Public Safety","High"
"Water System","Water main leak flooding the road in front of building.","Water & Drainage","High"
"Water System","No water supply in apartment since morning; taps not working.","Water & Drainage","Medium"
"Sewer","Sewage overflowing from manhole; strong odor and overflow on sidewalk.","Sanitation","High"
"Sewer","Drain clogged and rainwater is stagnant; mosquitoes increasing.","Water & Drainage","Medium"
"Sanitation Condition","Garbage not collected for a week; bins overflowing.","Sanitation","Medium"
"Sanitation Condition","Public toilet dirty and not cleaned regularly.","Sanitation","Low"
"Electric","Power outage in Sector 12 since last night.","Electricity","High"
"Electric","Voltage fluctuations damaging appliances; frequent power cuts.","Electricity","Medium"
"Electric","Fallen electric pole with sparks; very dangerous situation.","Electricity","High"
"Noise - Street/Sidewalk","Loud construction noise late night; disturbance in area.","Public Safety","Low"
"Building/Use","Sidewalk is broken with cracks and uneven surface.","Road & Infrastructure","Low"
"Water System","Drainage channel blocked with plastic waste near market.","Water & Drainage","Medium"
"Illegal Parking","Vehicles blocking fire hydrant; safety hazard.","Public Safety","Medium"
"Derelict Vehicle","Abandoned vehicle on street; attracts suspicious activity.","Public Safety","Medium"
"Street Condition","Road construction delayed for months; traffic congestion daily.","Road & Infrastructure","Low"
"Sanitation Condition","Overflowing garbage bin attracts stray animals.","Sanitation","Low"
