text,category
"There is a huge pothole on Main Street near the bus stop causing vehicles to swerve.","Road & Infrastructure"
"Broken streetlight at 5th Avenue; the road is dark at night.","Public Safety"
"Power outage in Sector 12 since last night; no electricity in our area.","Electricity"
"Fallen electric pole sparks are visible and it looks dangerous.","Electricity"
"Water pipeline leak in front of my house; water is flooding the street.","Water & Drainage"
"Sewage is overflowing from the manhole and the smell is unbearable.","Sanitation"
"Garbage has not been collected for a week in our lane.","Sanitation"
"Drainage is clogged and rainwater is stagnant, breeding mosquitoes.","Water & Drainage"
"Road construction has been delayed for months and blocks the traffic.","Road & Infrastructure"
"Traffic signal not working at the main junction; accidents may happen.","Public Safety"
"Street is damaged with cracks and uneven surface near the school.","Road & Infrastructure"
"Water supply is not working since morning in our apartment.","Water & Drainage"
"Frequent power cuts and voltage fluctuations are damaging appliances.","Electricity"
"Suspicious activity reported near the park; feels unsafe at night.","Public Safety"
"Public toilet is dirty and not cleaned regularly.","Sanitation"
"Open drain without cover is a danger to pedestrians.","Public Safety"
"Manhole cover missing on the road; risk of accident.","Road & Infrastructure"
"Water drainage channel is blocked with plastic waste.","Water & Drainage"
"Transformer is making loud noise and there is a burning smell.","Electricity"
"Overflowing garbage bin attracts stray animals.","Sanitation"

